id,Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
33420,Frequent Traveler,53,Leisure Trip,Standard,3753,3,1,3,4,2,3,2,2,4,1,4,4,4,2,0,0,Switzerland,1941,dissatisfied
33421,Frequent Traveler,34,Work Commute,Standard,2308,2,4,4,4,2,2,2,2,4,1,4,2,4,2,1,0,Italy,1947,dissatisfied
33422,Occasional Traveler,36,Work Commute,Standard,1456,2,2,2,2,1,2,1,1,2,4,1,2,1,1,0,0,Switzerland,1968,dissatisfied
33423,Frequent Traveler,43,Leisure Trip,Standard,370,1,1,1,1,4,4,4,5,5,5,5,5,5,4,0,0,France,1936,satisfied
33424,Frequent Traveler,30,Work Commute,First Class,3478,5,5,5,5,5,5,5,5,5,2,2,1,4,5,0,0,Spain,1931,satisfied
33425,Frequent Traveler,35,Work Commute,Standard,2125,5,1,1,1,5,5,5,5,4,5,2,2,3,5,0,3,Germany,1944,satisfied
33426,Occasional Traveler,26,Work Commute,First Class,2055,3,5,3,4,1,3,1,1,3,4,5,4,4,1,0,0,Switzerland,1935,dissatisfied
33427,Frequent Traveler,50,Leisure Trip,Comfort,572,4,4,4,4,4,4,4,4,5,3,4,5,5,4,0,0,Belgium,2000,satisfied
33428,Frequent Traveler,59,Work Commute,First Class,2710,5,5,5,5,4,1,5,5,5,5,5,3,5,2,0,0,Italy,1951,satisfied
33429,Frequent Traveler,21,Work Commute,Standard,1769,2,3,3,3,2,2,4,2,,4,4,3,3,2,0,0,Sweden,1993,dissatisfied
33430,Frequent Traveler,11,Leisure Trip,Standard,1731,4,1,1,1,3,3,5,4,4,4,4,2,4,5,0,3,Norway,1950,satisfied
33431,Frequent Traveler,55,Work Commute,Standard,2918,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,0,Italy,2017,dissatisfied
33432,Occasional Traveler,20,Work Commute,Standard,3055,2,2,2,4,3,2,3,3,3,,4,4,4,3,0,1,Germany,1956,dissatisfied
33433,Frequent Traveler,24,Leisure Trip,Standard,1227,4,1,4,3,1,4,5,1,3,2,3,4,3,1,0,0,Sweden,1966,dissatisfied
33434,Occasional Traveler,39,Work Commute,First Class,3166,3,3,,3,2,3,2,2,5,3,5,3,5,2,0,13,Spain,1931,dissatisfied
33435,Frequent Traveler,61,Leisure Trip,Standard,425,4,1,1,1,4,5,1,4,4,4,4,4,4,3,80,96,Spain,1947,satisfied
33436,Frequent Traveler,52,Work Commute,First Class,1444,1,1,1,1,3,4,5,4,4,4,4,4,4,3,9,20,Spain,1967,satisfied
33437,Frequent Traveler,48,Work Commute,First Class,2104,4,4,3,4,2,4,4,4,4,4,4,4,4,3,0,0,Switzerland,1955,satisfied
33438,Occasional Traveler,37,Work Commute,Standard,1729,1,1,1,1,2,1,2,2,3,4,2,2,2,2,20,17,Switzerland,1981,dissatisfied
33439,Frequent Traveler,40,Work Commute,First Class,312,0,0,0,1,5,4,4,1,1,1,1,3,1,4,13,9,Spain,1958,satisfied
33440,Frequent Traveler,48,Work Commute,First Class,2809,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0,Belgium,1993,satisfied
33441,Occasional Traveler,30,Work Commute,Standard,1720,3,5,3,1,2,3,1,2,2,4,1,5,2,2,0,0,France,1959,dissatisfied
33442,Frequent Traveler,39,Work Commute,First Class,2979,1,1,1,1,1,3,3,5,5,5,5,1,5,4,0,2,France,2008,satisfied
33443,Occasional Traveler,34,Work Commute,First Class,3329,3,3,3,3,3,2,2,3,2,4,3,2,3,2,0,0,Norway,1945,dissatisfied
33444,Frequent Traveler,23,Work Commute,First Class,1565,4,4,5,4,4,4,4,4,5,5,4,4,5,4,0,14,Norway,1982,satisfied
33445,Frequent Traveler,29,Work Commute,First Class,2577,5,5,5,5,4,4,4,4,4,2,5,3,4,4,0,0,Italy,1942,satisfied
33446,Frequent Traveler,48,Leisure Trip,Standard,836,4,4,4,4,4,3,3,4,4,4,4,4,4,4,0,0,Spain,1973,satisfied
33447,Frequent Traveler,51,Work Commute,Standard,652,3,2,2,2,3,4,3,3,3,3,3,1,3,1,0,11,Sweden,1973,dissatisfied
33448,Frequent Traveler,42,Work Commute,First Class,300,0,0,0,3,2,5,4,3,3,3,3,3,3,5,4,0,Netherlands,2007,satisfied
33449,Frequent Traveler,51,Work Commute,First Class,2572,3,3,4,3,2,4,4,4,4,4,4,3,4,5,5,0,France,2013,satisfied
33450,Frequent Traveler,23,Leisure Trip,Standard,2721,3,2,3,3,3,4,4,2,2,3,3,4,4,4,152,164,France,1979,dissatisfied
33451,Frequent Traveler,47,Leisure Trip,Standard,1741,4,4,4,4,4,4,5,4,3,2,5,4,1,4,0,0,Germany,1982,satisfied
33452,Frequent Traveler,38,Work Commute,First Class,63,2,2,2,2,3,5,5,5,5,4,4,3,5,5,0,0,Switzerland,2018,satisfied
33453,Frequent Traveler,47,Work Commute,Comfort,71,5,2,5,2,1,2,1,5,5,5,5,4,5,5,0,0,Norway,1930,satisfied
33454,Occasional Traveler,25,Work Commute,Standard,2221,1,1,1,3,2,1,2,2,4,5,3,2,3,2,0,0,Switzerland,1989,dissatisfied
33455,Occasional Traveler,26,Work Commute,First Class,1993,2,2,2,4,1,2,1,1,4,3,4,5,4,1,1,0,Norway,1932,dissatisfied
33456,Frequent Traveler,32,Leisure Trip,Standard,1526,5,5,5,5,4,4,5,5,5,5,5,5,5,5,0,0,France,1986,satisfied
33457,Occasional Traveler,29,Work Commute,First Class,2202,1,1,1,2,4,1,4,4,5,2,5,4,4,4,4,0,Germany,1951,dissatisfied
33458,Frequent Traveler,51,Work Commute,First Class,2847,3,3,3,3,4,4,4,4,4,4,4,3,4,4,0,3,Italy,1995,satisfied
33459,Frequent Traveler,37,Work Commute,Standard,1568,1,2,2,2,1,1,1,1,2,3,3,2,3,1,19,14,Belgium,2008,dissatisfied
33460,Frequent Traveler,56,Work Commute,First Class,307,4,4,4,4,5,4,5,5,5,5,5,3,5,5,0,1,Spain,1981,satisfied
33461,Frequent Traveler,38,Leisure Trip,Standard,1406,3,1,3,4,3,3,3,3,1,4,3,2,,3,0,0,Sweden,1970,dissatisfied
33462,Frequent Traveler,61,Work Commute,First Class,3726,2,2,2,2,4,5,4,5,5,4,5,5,5,4,2,14,Norway,1978,satisfied
33463,Frequent Traveler,41,Work Commute,First Class,786,2,2,2,2,3,4,5,3,3,3,3,5,3,3,3,10,Germany,2018,satisfied
33464,Frequent Traveler,38,Work Commute,First Class,1985,1,4,5,4,4,2,3,1,1,2,1,1,1,4,2,0,Switzerland,1996,dissatisfied
33465,Frequent Traveler,51,Work Commute,First Class,991,3,3,1,3,3,5,5,4,4,4,4,5,4,4,8,18,Germany,2004,satisfied
33466,Frequent Traveler,,Work Commute,First Class,416,5,5,5,5,2,5,5,5,5,5,5,3,5,3,48,39,Netherlands,1996,satisfied
33467,Frequent Traveler,35,Leisure Trip,Standard,2603,1,1,1,1,2,4,4,4,4,4,4,3,4,4,31,7,Italy,1990,satisfied
33468,Frequent Traveler,25,Leisure Trip,Standard,2646,3,3,3,3,4,4,4,4,5,2,4,3,4,4,2,10,Sweden,1996,satisfied
33469,Frequent Traveler,30,Leisure Trip,Standard,1708,2,4,2,3,4,2,4,4,3,2,4,3,5,4,0,11,Austria,1931,dissatisfied
33470,Frequent Traveler,27,Work Commute,Comfort,1872,0,0,0,1,5,0,5,5,3,1,2,4,2,5,0,0,Belgium,2007,satisfied
33471,Frequent Traveler,28,Work Commute,First Class,3639,1,1,1,1,5,5,5,5,3,2,4,1,4,5,0,0,Netherlands,1941,satisfied
33472,Frequent Traveler,58,Work Commute,First Class,1794,1,1,2,1,5,5,5,5,5,5,5,4,5,5,0,0,France,2002,satisfied
33473,Frequent Traveler,57,Leisure Trip,First Class,228,4,4,4,1,3,5,5,3,3,4,3,3,3,4,0,0,Netherlands,1996,satisfied
33474,Occasional Traveler,30,Work Commute,Standard,2118,3,3,3,1,2,3,2,2,1,5,3,1,5,2,5,13,Norway,1930,dissatisfied
33475,Frequent Traveler,58,Work Commute,Standard,1797,2,3,3,3,5,3,3,2,2,2,2,1,2,3,0,0,Switzerland,1942,dissatisfied
33476,Occasional Traveler,18,Work Commute,Standard,2198,1,1,1,1,1,2,2,5,5,3,5,2,2,2,0,0,Spain,1949,dissatisfied
33477,Frequent Traveler,48,Work Commute,First Class,3399,2,2,2,2,2,5,5,5,5,5,5,3,5,4,5,0,France,1983,satisfied
33478,Occasional Traveler,20,Work Commute,Standard,1610,4,1,4,3,3,4,3,3,4,2,4,3,5,3,42,34,Switzerland,2010,satisfied
33479,Frequent Traveler,12,Leisure Trip,Standard,1537,2,5,2,2,5,2,2,5,2,4,3,3,1,5,0,0,Germany,1966,dissatisfied
33480,Frequent Traveler,44,Work Commute,First Class,727,2,2,2,2,3,4,4,3,3,3,3,4,3,4,0,0,Netherlands,1978,satisfied
33481,Frequent Traveler,45,Work Commute,Standard,1585,2,2,2,2,2,2,2,2,4,1,4,1,4,2,0,0,Switzerland,1999,dissatisfied
33482,Frequent Traveler,22,Leisure Trip,Standard,2034,4,3,2,3,4,4,4,4,2,5,4,5,1,4,15,1,Sweden,1978,satisfied
33483,Frequent Traveler,31,Work Commute,Standard,1516,0,0,0,1,2,0,2,2,2,1,4,4,4,2,0,7,Italy,1954,satisfied
33484,Frequent Traveler,49,Leisure Trip,First Class,3340,2,2,2,2,3,4,5,5,5,5,5,4,5,4,0,4,Germany,1949,satisfied
33485,Frequent Traveler,57,Leisure Trip,Standard,2371,3,5,2,4,2,3,3,3,3,4,5,3,5,3,189,178,Spain,1994,dissatisfied
33486,Frequent Traveler,68,Work Commute,First Class,3202,1,1,5,1,3,4,4,3,3,4,3,4,3,5,7,2,Sweden,2016,satisfied
33487,Frequent Traveler,39,Work Commute,First Class,2475,1,1,1,1,4,4,4,5,5,5,4,4,3,4,336,327,Netherlands,1977,satisfied
33488,Frequent Traveler,65,Leisure Trip,Standard,1028,2,5,2,5,4,2,4,4,1,1,1,1,5,4,0,0,Austria,1972,dissatisfied
33489,Frequent Traveler,20,Leisure Trip,Standard,1667,2,2,2,2,5,5,5,5,4,4,5,4,5,5,0,0,Italy,2019,satisfied
33490,Frequent Traveler,60,Leisure Trip,Comfort,275,5,5,5,4,3,4,4,2,2,5,2,5,2,,40,42,Italy,1953,satisfied
33491,Frequent Traveler,61,Leisure Trip,Standard,1685,2,2,2,2,5,5,5,5,3,5,4,4,5,5,0,0,Norway,2013,satisfied
33492,Frequent Traveler,48,Leisure Trip,Comfort,2053,2,4,2,3,1,2,1,1,4,5,4,4,4,1,0,0,France,1994,dissatisfied
33493,Frequent Traveler,60,Work Commute,First Class,3465,5,5,2,5,4,4,4,4,4,4,4,4,4,4,3,0,Netherlands,1934,satisfied
33494,Occasional Traveler,25,Work Commute,First Class,1275,4,0,4,1,3,4,3,3,3,3,5,4,4,3,1,0,Norway,1977,dissatisfied
33495,Occasional Traveler,47,Work Commute,Standard,2095,1,4,2,2,4,2,4,4,3,2,3,2,2,4,0,0,Sweden,2014,dissatisfied
33496,Occasional Traveler,20,Work Commute,Standard,2066,4,2,3,4,4,3,4,4,3,1,3,1,3,4,0,2,Germany,1990,dissatisfied
33497,Occasional Traveler,35,Work Commute,First Class,2331,2,2,2,3,5,2,5,5,3,3,3,3,3,5,2,1,Austria,1973,dissatisfied
33498,Frequent Traveler,22,Work Commute,First Class,4651,2,3,3,3,2,1,2,2,1,1,4,4,3,2,0,13,Spain,1935,dissatisfied
33499,Frequent Traveler,35,Work Commute,First Class,1924,1,1,1,1,4,5,5,4,4,4,4,4,,3,3,0,Norway,1982,satisfied
33500,Frequent Traveler,43,Work Commute,Standard,928,5,3,3,3,4,4,3,5,5,5,5,2,5,2,24,0,Belgium,1942,satisfied
33501,Occasional Traveler,16,Work Commute,Standard,2244,2,2,2,4,3,2,3,3,1,3,3,4,4,3,0,12,Switzerland,2007,dissatisfied
33502,Frequent Traveler,7,Leisure Trip,Standard,1904,3,5,3,4,5,3,5,5,4,3,4,5,5,5,30,84,Belgium,1988,dissatisfied
33503,Occasional Traveler,26,Work Commute,Standard,4710,4,4,4,1,4,3,3,2,3,3,5,3,4,3,0,3,France,2004,dissatisfied
33504,Occasional Traveler,49,Work Commute,First Class,2352,3,3,3,3,1,3,1,1,4,5,5,4,4,1,10,24,Switzerland,1972,dissatisfied
33505,Frequent Traveler,8,Leisure Trip,Standard,2462,5,2,2,2,4,1,3,5,5,5,5,2,5,2,42,54,Switzerland,1963,satisfied
33506,Frequent Traveler,21,Leisure Trip,Standard,2209,4,4,4,2,2,4,2,2,5,5,5,5,5,2,0,0,Belgium,1977,dissatisfied
33507,Occasional Traveler,37,Work Commute,First Class,1318,1,2,2,2,3,2,3,3,3,3,5,4,5,3,0,0,Germany,1998,dissatisfied
33508,Frequent Traveler,49,Work Commute,First Class,2374,3,1,1,1,2,4,3,3,3,4,3,4,3,2,0,0,Spain,1976,dissatisfied
33509,Occasional Traveler,32,Work Commute,Standard,2642,2,2,2,4,1,2,1,1,4,5,4,1,3,1,0,0,Sweden,1961,dissatisfied
33510,Frequent Traveler,50,Work Commute,Standard,1293,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49,Italy,1980,dissatisfied
33511,Frequent Traveler,27,Work Commute,First Class,3280,2,2,2,2,4,4,4,4,4,3,4,3,5,4,15,28,Italy,1929,satisfied
33512,Occasional Traveler,31,Work Commute,Standard,2795,1,0,0,3,5,1,1,5,4,1,3,1,4,5,13,0,Italy,1981,dissatisfied
33513,Occasional Traveler,47,Work Commute,First Class,1778,3,3,3,2,4,3,4,4,5,3,5,5,5,4,0,0,Italy,1983,dissatisfied
33514,Frequent Traveler,70,Leisure Trip,Standard,2018,3,5,3,3,2,3,2,2,1,4,3,4,5,2,37,30,Sweden,1976,dissatisfied
33515,Frequent Traveler,21,Work Commute,First Class,5050,3,3,3,3,5,4,5,5,3,2,4,5,5,5,0,0,Germany,1933,satisfied
33516,Frequent Traveler,42,Work Commute,Comfort,859,5,3,3,3,4,2,3,4,4,5,4,3,4,2,16,55,Switzerland,1932,satisfied
33517,Occasional Traveler,39,Work Commute,First Class,1569,3,3,3,2,1,3,1,1,5,5,3,1,5,1,2,0,Germany,1934,dissatisfied
33518,Frequent Traveler,52,Work Commute,First Class,3436,2,2,4,2,2,5,5,4,4,4,4,4,4,4,0,0,Switzerland,2006,satisfied
33519,Frequent Traveler,51,Work Commute,Standard,1297,3,5,5,5,3,3,3,3,1,3,3,4,3,3,25,,Norway,2014,dissatisfied
33520,Frequent Traveler,67,Leisure Trip,Standard,3661,1,4,1,1,1,5,5,1,1,5,2,5,3,5,0,1,Italy,2002,dissatisfied
33521,Occasional Traveler,27,Work Commute,Standard,1690,4,0,4,3,1,4,1,1,5,1,5,5,4,1,0,0,Belgium,2012,satisfied
33522,Frequent Traveler,42,Leisure Trip,Standard,872,2,2,3,2,3,5,5,4,4,4,4,5,4,3,3,10,Sweden,1945,satisfied
33523,Frequent Traveler,37,Work Commute,Standard,1438,2,1,1,1,2,2,2,2,3,4,4,1,4,2,1,14,Norway,1996,dissatisfied
33524,Frequent Traveler,57,Work Commute,First Class,2472,0,0,0,2,4,3,3,4,4,4,4,4,4,2,0,0,Netherlands,1958,satisfied
33525,Frequent Traveler,45,Work Commute,Comfort,2097,5,2,2,2,5,5,5,5,2,4,1,3,3,5,42,9,Sweden,2006,satisfied
33526,Frequent Traveler,19,Leisure Trip,Standard,1350,4,3,4,4,4,4,4,4,4,2,1,4,3,4,4,0,Italy,2017,dissatisfied
33527,Frequent Traveler,69,Leisure Trip,Comfort,2007,2,4,1,3,1,1,1,1,1,2,4,4,4,1,0,0,Norway,1936,dissatisfied
33528,Frequent Traveler,38,Leisure Trip,Standard,1346,1,5,1,3,2,1,2,2,3,2,4,3,4,2,0,0,Switzerland,1951,dissatisfied
33529,Frequent Traveler,42,Work Commute,First Class,1609,3,5,5,5,2,3,3,3,3,3,3,3,3,2,0,7,Switzerland,1962,dissatisfied
33530,Frequent Traveler,41,Work Commute,First Class,341,1,1,5,1,3,1,4,5,5,5,5,2,5,2,0,0,Netherlands,1929,satisfied
33531,Occasional Traveler,28,Work Commute,First Class,1982,1,,,3,1,1,1,1,3,4,4,3,4,1,0,17,Belgium,1932,dissatisfied
33532,Frequent Traveler,32,Work Commute,First Class,2463,2,2,2,2,4,4,4,4,4,4,5,4,5,4,0,0,Austria,1991,satisfied
33533,Frequent Traveler,51,Work Commute,First Class,2535,1,1,1,1,5,5,5,3,4,3,4,5,5,5,19,59,Belgium,1966,satisfied
33534,Frequent Traveler,27,Work Commute,First Class,1943,1,1,1,1,5,5,3,5,4,2,2,3,5,5,0,0,Italy,1964,satisfied
33535,Frequent Traveler,32,Leisure Trip,First Class,2564,4,4,4,4,5,,5,5,2,5,4,2,3,5,0,0,Spain,2002,satisfied
33536,Frequent Traveler,40,Work Commute,First Class,3828,4,4,4,4,5,4,4,5,5,5,5,3,5,4,17,5,Netherlands,1973,satisfied
33537,Frequent Traveler,50,Work Commute,First Class,3718,5,1,5,5,5,4,5,5,5,5,5,4,5,3,0,0,Norway,2000,satisfied
33538,Frequent Traveler,35,Leisure Trip,Standard,1621,2,2,2,3,1,2,1,1,3,2,3,3,4,1,0,15,Spain,1945,dissatisfied
33539,Frequent Traveler,33,Work Commute,First Class,1488,3,3,3,3,4,4,5,5,5,5,5,5,5,5,15,5,Switzerland,1945,satisfied
33540,Frequent Traveler,,Work Commute,First Class,3735,2,2,2,2,3,4,5,4,4,4,4,3,4,3,0,0,France,2009,satisfied
33541,Frequent Traveler,49,Work Commute,First Class,3787,5,5,5,5,2,4,4,4,4,4,4,4,4,3,0,4,Italy,1999,satisfied
33542,Frequent Traveler,40,Work Commute,Comfort,1725,1,4,4,4,1,1,1,1,1,2,3,4,3,1,0,0,France,1987,dissatisfied
33543,Occasional Traveler,46,Work Commute,Standard,1482,2,4,2,3,3,2,4,3,1,1,2,4,2,3,68,80,Belgium,1989,dissatisfied
33544,Frequent Traveler,39,Work Commute,Comfort,2091,4,2,2,2,4,4,4,4,4,3,2,2,2,4,0,0,Italy,1979,satisfied
33545,Frequent Traveler,46,Work Commute,First Class,1047,5,5,5,5,4,4,5,4,4,4,4,5,4,4,0,0,France,1967,satisfied
33546,Frequent Traveler,54,Work Commute,First Class,361,4,1,1,1,3,3,3,4,4,4,4,3,4,1,2,0,Germany,1977,dissatisfied
33547,Frequent Traveler,43,Work Commute,First Class,1908,4,4,4,4,3,5,4,2,2,2,2,3,2,4,0,12,Belgium,1947,satisfied
33548,Frequent Traveler,58,Work Commute,First Class,1667,1,1,1,1,,4,4,5,5,5,5,4,5,5,1,6,Netherlands,1979,satisfied
33549,Frequent Traveler,41,Work Commute,Standard,1268,5,2,2,2,,5,5,5,3,4,4,3,1,5,0,0,Germany,2017,satisfied
33550,Occasional Traveler,28,Work Commute,Standard,2384,4,5,4,1,1,4,1,1,3,2,4,1,4,1,16,12,Norway,1991,dissatisfied
33551,Occasional Traveler,22,Work Commute,Comfort,,1,1,1,3,5,1,5,5,4,1,4,4,4,5,0,0,Netherlands,1929,dissatisfied
33552,Frequent Traveler,60,Work Commute,First Class,2281,3,3,5,3,4,4,4,4,4,4,4,4,4,4,2,0,Austria,1959,satisfied
33553,Frequent Traveler,47,Work Commute,First Class,,3,3,3,3,2,4,5,4,4,4,4,3,4,4,0,0,Norway,2001,satisfied
33554,Frequent Traveler,18,Leisure Trip,Standard,995,2,5,2,1,4,2,4,4,5,5,5,3,4,4,2,6,Netherlands,1951,dissatisfied
33555,Frequent Traveler,69,Leisure Trip,Standard,607,4,4,4,4,4,4,4,4,3,2,4,2,1,4,23,64,France,1931,satisfied
33556,Occasional Traveler,37,Work Commute,First Class,2131,4,4,4,4,1,4,1,1,3,2,3,4,3,1,17,26,Italy,1935,dissatisfied
33557,Frequent Traveler,52,Work Commute,First Class,916,3,1,1,1,3,4,3,3,3,3,3,3,3,1,0,0,Italy,2010,dissatisfied
33558,Frequent Traveler,62,Leisure Trip,First Class,466,3,4,4,3,5,4,5,4,4,4,4,1,4,4,0,0,Netherlands,1969,dissatisfied
33559,Frequent Traveler,41,Leisure Trip,Standard,1345,2,3,2,3,1,2,4,1,5,3,5,2,2,1,23,17,France,1965,dissatisfied
33560,Frequent Traveler,35,Work Commute,First Class,1763,5,5,5,5,4,5,4,5,5,5,5,4,5,5,0,0,Netherlands,2005,satisfied
33561,Occasional Traveler,34,Work Commute,First Class,1897,1,1,1,2,2,1,2,2,4,5,4,5,4,2,0,0,Austria,1952,dissatisfied
33562,Frequent Traveler,17,Work Commute,First Class,1188,2,3,3,3,2,2,2,2,4,5,3,4,3,2,,0,France,1946,dissatisfied
33563,Occasional Traveler,12,Work Commute,Standard,2212,3,3,3,3,5,3,5,5,2,1,4,3,3,5,0,0,Spain,1929,dissatisfied
33564,Frequent Traveler,65,Leisure Trip,Standard,431,4,0,4,2,2,5,5,4,4,4,4,4,4,3,0,0,Spain,1962,dissatisfied
33565,Frequent Traveler,64,Leisure Trip,Standard,99,5,4,5,2,4,5,4,2,2,5,2,4,2,3,0,0,Italy,1963,satisfied
33566,Occasional Traveler,27,Work Commute,Standard,2286,0,0,0,1,5,0,5,5,2,1,4,1,1,5,0,0,Switzerland,1995,satisfied
33567,Occasional Traveler,73,Work Commute,Standard,1670,3,4,3,4,3,3,1,3,4,2,4,4,4,3,82,81,France,1961,dissatisfied
33568,Frequent Traveler,57,Work Commute,First Class,2081,4,4,4,4,3,5,5,5,5,5,5,3,5,3,0,0,Netherlands,1999,satisfied
33569,Frequent Traveler,21,Leisure Trip,Standard,2412,4,4,4,3,3,4,3,3,4,2,5,5,4,3,10,25,Belgium,1962,satisfied
33570,Frequent Traveler,59,,First Class,3644,3,3,3,3,4,5,5,5,5,5,5,4,5,3,0,6,Spain,1944,satisfied
33571,Frequent Traveler,53,Work Commute,First Class,2031,4,5,5,5,1,3,3,4,4,4,4,3,4,3,16,0,Norway,1963,dissatisfied
33572,Occasional Traveler,26,Work Commute,Standard,2424,3,4,4,4,5,4,5,5,4,3,1,4,4,5,0,0,Spain,1979,dissatisfied
33573,Frequent Traveler,17,Work Commute,First Class,2037,4,5,5,5,4,4,4,4,1,3,2,2,3,4,5,9,Spain,1935,dissatisfied
33574,Frequent Traveler,42,Work Commute,First Class,3765,1,4,3,4,4,2,2,1,1,1,1,4,1,1,32,23,Belgium,1963,dissatisfied
33575,Frequent Traveler,61,Leisure Trip,Standard,1491,2,2,2,4,1,2,1,1,1,1,4,2,4,1,47,49,Norway,1934,dissatisfied
33576,Frequent Traveler,35,Work Commute,First Class,2645,4,4,4,4,1,5,2,4,4,4,4,4,4,4,0,0,Netherlands,1937,satisfied
33577,Frequent Traveler,60,Leisure Trip,Standard,1848,4,4,0,5,1,0,1,1,4,3,4,5,5,1,0,0,Norway,2011,satisfied
33578,Occasional Traveler,28,Work Commute,Standard,1365,2,3,2,1,1,2,1,1,2,2,5,2,5,1,18,42,Austria,1960,dissatisfied
33579,Occasional Traveler,21,Work Commute,Standard,1375,2,4,2,3,3,2,3,3,1,4,3,1,4,3,22,13,Spain,1984,dissatisfied
33580,Frequent Traveler,59,Work Commute,Standard,1931,5,1,1,1,5,5,5,5,3,5,2,1,1,5,23,4,Sweden,1983,satisfied
33581,Frequent Traveler,25,Work Commute,First Class,4898,1,1,1,1,2,2,2,2,4,4,5,4,5,2,3,10,France,2009,satisfied
33582,Frequent Traveler,7,Leisure Trip,Standard,1787,4,0,4,2,5,4,5,5,3,2,4,4,5,5,0,0,Belgium,1956,dissatisfied
33583,Frequent Traveler,38,Work Commute,First Class,3806,3,2,3,3,5,4,5,5,5,5,5,3,5,5,29,34,Italy,1979,satisfied
33584,Occasional Traveler,20,Work Commute,First Class,2278,,0,5,3,1,5,2,1,3,4,3,5,4,1,0,9,Germany,1956,satisfied
33585,Frequent Traveler,15,Leisure Trip,Standard,1360,0,5,0,2,3,0,3,3,1,5,2,4,2,3,0,0,France,1963,satisfied
33586,Frequent Traveler,30,Work Commute,First Class,4049,4,3,3,3,4,4,4,4,3,3,3,3,4,4,51,62,France,2018,dissatisfied
33587,Frequent Traveler,54,Leisure Trip,Standard,3614,2,3,2,3,5,2,5,5,2,1,4,4,4,5,0,0,Switzerland,1935,dissatisfied
33588,Occasional Traveler,25,Work Commute,Standard,2218,2,3,3,3,4,3,4,4,3,2,4,5,4,4,0,0,Netherlands,1990,dissatisfied
33589,Frequent Traveler,31,Work Commute,First Class,1394,4,4,2,4,5,5,3,5,3,3,1,2,4,5,12,9,Sweden,1983,satisfied
33590,Frequent Traveler,43,Work Commute,First Class,807,3,4,3,3,3,5,4,5,5,5,5,4,5,4,15,18,Netherlands,1999,satisfied
33591,Frequent Traveler,33,,Standard,1019,4,3,3,3,4,4,4,4,4,5,2,5,1,4,4,5,Switzerland,1997,satisfied
33592,Frequent Traveler,41,Work Commute,Standard,2706,5,3,2,3,5,5,5,5,1,2,1,2,1,5,7,0,Belgium,1944,satisfied
33593,Occasional Traveler,36,Work Commute,First Class,1737,3,,3,3,3,3,3,3,3,3,5,3,5,3,33,17,Netherlands,2017,dissatisfied
33594,Occasional Traveler,47,Work Commute,First Class,2201,1,1,1,3,1,1,1,1,3,5,5,5,4,1,44,32,Italy,1973,dissatisfied
33595,Frequent Traveler,38,Work Commute,Standard,1883,4,3,3,3,4,4,4,4,3,4,2,2,2,4,0,0,Germany,2008,satisfied
33596,Frequent Traveler,57,Work Commute,First Class,2070,3,3,3,3,4,4,5,4,4,4,4,5,4,5,0,34,Netherlands,2019,satisfied
33597,Frequent Traveler,22,Leisure Trip,Standard,2127,1,1,5,1,5,5,5,5,5,5,4,5,4,5,0,0,Italy,2009,satisfied
33598,Occasional Traveler,29,Work Commute,Standard,2023,2,5,2,2,5,2,5,5,3,4,1,4,2,5,57,58,Netherlands,1953,dissatisfied
33599,Frequent Traveler,52,Work Commute,First Class,2925,1,1,1,1,4,4,4,4,4,4,4,5,4,4,39,31,Norway,1957,satisfied
33600,Frequent Traveler,39,Work Commute,First Class,1030,1,1,1,1,4,4,5,2,2,2,2,2,2,5,0,0,France,1968,satisfied
33601,Occasional Traveler,20,Work Commute,Standard,2677,3,3,3,3,4,3,4,4,4,2,4,2,3,4,19,3,Switzerland,1946,dissatisfied
33602,Frequent Traveler,42,Work Commute,First Class,1613,3,3,5,3,2,4,5,2,2,2,2,5,2,1,0,0,Spain,1932,satisfied
33603,Occasional Traveler,40,Work Commute,First Class,2025,4,4,4,5,5,4,5,5,5,5,3,5,2,5,0,9,France,1954,dissatisfied
33604,Frequent Traveler,55,Work Commute,Comfort,790,2,5,5,5,4,3,4,2,2,2,2,2,2,4,0,0,Switzerland,1993,dissatisfied
33605,Occasional Traveler,27,Work Commute,First Class,1993,4,4,4,4,1,4,1,1,4,2,5,5,4,1,0,0,Netherlands,1987,satisfied
33606,Frequent Traveler,34,Work Commute,First Class,4451,4,4,4,4,4,3,3,2,1,4,4,3,3,3,454,502,Italy,1967,satisfied
33607,Frequent Traveler,30,Work Commute,Comfort,2442,3,3,3,3,3,3,3,3,4,3,3,4,3,3,2,0,Sweden,1973,dissatisfied
33608,Occasional Traveler,16,Work Commute,Standard,1168,5,4,5,3,5,5,5,5,3,5,5,3,4,5,10,0,Spain,1986,satisfied
33609,Frequent Traveler,24,Work Commute,Standard,1276,5,1,1,1,5,5,5,5,2,3,2,5,1,5,0,0,Sweden,1987,satisfied
