Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
Frequent Traveler,48.0,Leisure Trip,Standard,824.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,1.0,4.0,3.0,0.0,0.0,Austria,1985.0,satisfied
Frequent Traveler,46.0,Work Commute,Standard,828.0,2.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,Germany,1973.0,satisfied
Frequent Traveler,61.0,Leisure Trip,Standard,897.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,69.0,70.0,Germany,1947.0,satisfied
Frequent Traveler,33.0,Leisure Trip,Standard,1644.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,Germany,1956.0,satisfied
Frequent Traveler,65.0,Leisure Trip,Standard,2689.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,Austria,1959.0,dissatisfied
Frequent Traveler,60.0,Work Commute,Standard,456.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,0.0,Austria,1977.0,satisfied
Frequent Traveler,44.0,Leisure Trip,Standard,2563.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,24.0,France,2018.0,dissatisfied
Frequent Traveler,62.0,Work Commute,First Class,3021.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,41.0,29.0,Switzerland,1973.0,satisfied
Frequent Traveler,38.0,Work Commute,First Class,2560.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,0.0,16.0,France,1962.0,satisfied
Frequent Traveler,36.0,Leisure Trip,Standard,2380.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,2.0,0.0,0.0,Austria,1978.0,dissatisfied
Frequent Traveler,42.0,Work Commute,Standard,813.0,5.0,5.0,2.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,0.0,0.0,Norway,1939.0,satisfied
Frequent Traveler,57.0,Work Commute,First Class,1615.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,63.0,73.0,France,1953.0,satisfied
Frequent Traveler,8.0,Leisure Trip,Standard,2695.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,32.0,Germany,1957.0,dissatisfied
Frequent Traveler,55.0,Work Commute,First Class,540.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,0.0,Belgium,2011.0,satisfied
Frequent Traveler,51.0,Work Commute,First Class,1560.0,1.0,2.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,0.0,Sweden,1930.0,dissatisfied
Occasional Traveler,36.0,Work Commute,Standard,1467.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0,1.0,10.0,Switzerland,2016.0,dissatisfied
Frequent Traveler,23.0,Work Commute,First Class,3598.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,1.0,4.0,2.0,0.0,0.0,Austria,2010.0,dissatisfied
Frequent Traveler,61.0,Leisure Trip,Standard,251.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,Sweden,1938.0,satisfied
Occasional Traveler,20.0,Work Commute,Standard,1609.0,3.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,4.0,Sweden,1935.0,dissatisfied
Frequent Traveler,54.0,Leisure Trip,Standard,1660.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,2.0,4.0,0.0,0.0,Switzerland,1988.0,dissatisfied
Occasional Traveler,22.0,Work Commute,Standard,1390.0,4.0,0.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,5.0,3.0,0.0,0.0,Germany,1929.0,dissatisfied
Frequent Traveler,41.0,Work Commute,First Class,2434.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,0.0,0.0,Sweden,1930.0,satisfied
Occasional Traveler,17.0,Work Commute,Standard,1829.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,1.0,5.0,4.0,1.0,0.0,Spain,2006.0,satisfied
Frequent Traveler,42.0,Work Commute,Standard,553.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,Sweden,2015.0,dissatisfied
Frequent Traveler,47.0,Leisure Trip,Comfort,1797.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,Italy,1978.0,satisfied
Frequent Traveler,68.0,Leisure Trip,Standard,2001.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,8.0,France,1977.0,dissatisfied
Frequent Traveler,44.0,Work Commute,First Class,281.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,Spain,1977.0,satisfied
Occasional Traveler,26.0,Work Commute,First Class,2870.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,Belgium,1938.0,dissatisfied
Occasional Traveler,15.0,Work Commute,Standard,3429.0,2.0,2.0,2.0,3.0,2.0,1.0,5.0,4.0,1.0,4.0,3.0,5.0,2.0,5.0,21.0,36.0,France,1981.0,dissatisfied
Frequent Traveler,59.0,Work Commute,First Class,550.0,2.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,29.0,28.0,Switzerland,1950.0,dissatisfied
Frequent Traveler,52.0,Work Commute,First Class,3778.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,8.0,0.0,Switzerland,1953.0,satisfied
Frequent Traveler,47.0,Work Commute,First Class,539.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,7.0,0.0,Spain,1956.0,dissatisfied
Frequent Traveler,72.0,Work Commute,First Class,262.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,16.0,Austria,1961.0,dissatisfied
Frequent Traveler,11.0,Leisure Trip,Standard,1758.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,15.0,5.0,Spain,1999.0,dissatisfied
Frequent Traveler,35.0,Work Commute,First Class,611.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,21.0,7.0,Sweden,1999.0,satisfied
Frequent Traveler,54.0,Leisure Trip,Standard,2406.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,2.0,0.0,0.0,Norway,1942.0,dissatisfied
Frequent Traveler,32.0,Work Commute,First Class,3974.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,Norway,2004.0,satisfied
Occasional Traveler,24.0,Work Commute,Standard,1153.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,17.0,32.0,France,1993.0,dissatisfied
Frequent Traveler,41.0,Work Commute,First Class,3681.0,0.0,4.0,0.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,0.0,4.0,Sweden,1993.0,satisfied
Frequent Traveler,48.0,Work Commute,First Class,3984.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,13.0,22.0,Spain,1946.0,dissatisfied
Frequent Traveler,46.0,Leisure Trip,Standard,1338.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,0.0,0.0,Belgium,1995.0,dissatisfied
Occasional Traveler,24.0,Work Commute,Standard,1907.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,Germany,1929.0,dissatisfied
Frequent Traveler,34.0,Work Commute,First Class,1987.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,Germany,2017.0,satisfied
Frequent Traveler,42.0,Work Commute,First Class,2691.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,54.0,Netherlands,1934.0,dissatisfied
Frequent Traveler,39.0,Work Commute,First Class,1665.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,9.0,14.0,Norway,1964.0,satisfied
Frequent Traveler,40.0,Leisure Trip,Standard,3009.0,3.0,5.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,1.0,7.0,5.0,Netherlands,1930.0,dissatisfied
Occasional Traveler,27.0,Work Commute,First Class,1609.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,0.0,0.0,France,1998.0,dissatisfied
Occasional Traveler,20.0,Work Commute,First Class,2681.0,4.0,0.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,Italy,1984.0,satisfied
Occasional Traveler,39.0,Work Commute,First Class,1590.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,3.0,4.0,5.0,4.0,1.0,0.0,0.0,Belgium,1940.0,dissatisfied
Frequent Traveler,48.0,Leisure Trip,Standard,447.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,0.0,0.0,Switzerland,1977.0,satisfied
Frequent Traveler,63.0,Leisure Trip,Comfort,1188.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,Belgium,2000.0,satisfied
Frequent Traveler,56.0,Work Commute,Standard,90.0,4.0,2.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,Netherlands,1954.0,satisfied
Occasional Traveler,23.0,Work Commute,Standard,3200.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0,Germany,1949.0,dissatisfied
Frequent Traveler,13.0,Leisure Trip,Standard,1457.0,5.0,4.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,2.0,0.0,0.0,Spain,1950.0,satisfied
Frequent Traveler,9.0,Leisure Trip,Standard,2273.0,5.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,Switzerland,1945.0,satisfied
Frequent Traveler,31.0,Work Commute,First Class,2287.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,Germany,1974.0,satisfied
Frequent Traveler,24.0,Work Commute,First Class,2883.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,5.0,1.0,3.0,0.0,0.0,France,1959.0,satisfied
Frequent Traveler,43.0,Work Commute,First Class,2469.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,53.0,Italy,1990.0,satisfied
Frequent Traveler,18.0,Work Commute,First Class,1531.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,16.0,3.0,Norway,2007.0,satisfied
Frequent Traveler,26.0,Leisure Trip,Standard,1474.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,France,2010.0,dissatisfied
Frequent Traveler,38.0,Work Commute,First Class,2513.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,18.0,0.0,Norway,1962.0,satisfied
Frequent Traveler,20.0,Leisure Trip,Standard,2026.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,0.0,France,2020.0,satisfied
Frequent Traveler,23.0,Work Commute,First Class,4547.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,12.0,14.0,Austria,1936.0,dissatisfied
Frequent Traveler,64.0,Leisure Trip,Standard,741.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,0.0,France,1990.0,satisfied
Frequent Traveler,57.0,Work Commute,First Class,2303.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,Germany,1977.0,satisfied
Frequent Traveler,31.0,Leisure Trip,Standard,1582.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,15.0,21.0,Italy,2008.0,dissatisfied
Frequent Traveler,33.0,Work Commute,First Class,408.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,27.0,24.0,Belgium,1961.0,satisfied
Occasional Traveler,36.0,Work Commute,First Class,2505.0,2.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,0.0,0.0,Netherlands,1986.0,dissatisfied
Occasional Traveler,25.0,Work Commute,First Class,2800.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,0.0,Spain,1937.0,dissatisfied
Frequent Traveler,43.0,Work Commute,Comfort,2807.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,0.0,0.0,Austria,1989.0,dissatisfied
Frequent Traveler,55.0,Leisure Trip,Standard,389.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,0.0,Sweden,1947.0,satisfied
Frequent Traveler,27.0,Work Commute,First Class,3373.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,0.0,0.0,Italy,1988.0,satisfied
Frequent Traveler,41.0,Work Commute,First Class,1560.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,France,1955.0,satisfied
Frequent Traveler,63.0,Leisure Trip,Standard,274.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,0.0,Sweden,1956.0,satisfied
Frequent Traveler,32.0,Leisure Trip,Standard,2141.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,13.0,14.0,Belgium,1994.0,dissatisfied
Frequent Traveler,26.0,Leisure Trip,Standard,1597.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,0.0,Spain,1986.0,satisfied
Frequent Traveler,22.0,Leisure Trip,Standard,1436.0,4.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,5.0,4.0,4.0,1.0,24.0,30.0,France,1989.0,dissatisfied
Frequent Traveler,22.0,Leisure Trip,Standard,3096.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,6.0,5.0,Netherlands,1996.0,satisfied
Frequent Traveler,37.0,Work Commute,Comfort,1694.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,0.0,10.0,Switzerland,2008.0,satisfied
Frequent Traveler,44.0,Work Commute,Standard,1714.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,42.0,36.0,Germany,1939.0,dissatisfied
Frequent Traveler,34.0,Work Commute,First Class,2489.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,19.0,0.0,Norway,1974.0,satisfied
Frequent Traveler,58.0,Work Commute,First Class,2210.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,1.0,Austria,1981.0,satisfied
Occasional Traveler,25.0,Work Commute,Standard,2741.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,Switzerland,1972.0,dissatisfied
Frequent Traveler,7.0,Leisure Trip,Standard,1928.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,Germany,1975.0,dissatisfied
Frequent Traveler,55.0,Leisure Trip,Standard,1845.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,4.0,0.0,0.0,France,1984.0,dissatisfied
Frequent Traveler,57.0,Work Commute,Standard,876.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,5.0,0.0,0.0,Austria,1997.0,satisfied
Occasional Traveler,66.0,Work Commute,First Class,2324.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,0.0,0.0,Netherlands,1944.0,dissatisfied
Frequent Traveler,55.0,Work Commute,First Class,2158.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,Belgium,1962.0,dissatisfied
Occasional Traveler,28.0,Work Commute,First Class,2104.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,0.0,0.0,Spain,1951.0,satisfied
Frequent Traveler,22.0,Leisure Trip,Standard,2418.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,20.0,28.0,Spain,1974.0,dissatisfied
Frequent Traveler,22.0,Work Commute,First Class,4440.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,0.0,0.0,France,1967.0,dissatisfied
Frequent Traveler,37.0,Work Commute,Standard,2455.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,0.0,0.0,Belgium,1981.0,satisfied
Frequent Traveler,43.0,Work Commute,First Class,50.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,Austria,1954.0,satisfied
Frequent Traveler,51.0,Leisure Trip,Standard,1921.0,2.0,4.0,2.0,2.0,5.0,2.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,15.0,31.0,Switzerland,2007.0,dissatisfied
Frequent Traveler,49.0,Work Commute,First Class,2139.0,5.0,5.0,3.0,5.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,0.0,0.0,Germany,1998.0,satisfied
Frequent Traveler,60.0,Work Commute,First Class,1485.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,26.0,31.0,Austria,1931.0,satisfied
Frequent Traveler,57.0,Work Commute,First Class,374.0,2.0,2.0,5.0,2.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,47.0,50.0,Germany,1945.0,satisfied
Frequent Traveler,43.0,Work Commute,Standard,1544.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,3.0,4.0,6.0,16.0,Germany,1967.0,satisfied
Frequent Traveler,50.0,Work Commute,First Class,584.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,77.0,59.0,Switzerland,1955.0,dissatisfied
Frequent Traveler,24.0,Leisure Trip,First Class,1834.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,France,2020.0,dissatisfied
Frequent Traveler,43.0,Leisure Trip,Standard,1898.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,5.0,2.0,0.0,0.0,Germany,1958.0,dissatisfied
Occasional Traveler,30.0,Work Commute,First Class,3239.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,16.0,0.0,France,1946.0,dissatisfied
Occasional Traveler,25.0,Work Commute,First Class,1525.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0,2.0,0.0,0.0,Italy,1991.0,satisfied
Frequent Traveler,47.0,Work Commute,Standard,475.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,26.0,6.0,Sweden,1933.0,dissatisfied
Frequent Traveler,50.0,Work Commute,Standard,2604.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,Switzerland,1987.0,dissatisfied
Frequent Traveler,61.0,Leisure Trip,Standard,1946.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,3.0,0.0,0.0,Switzerland,2008.0,dissatisfied
Frequent Traveler,57.0,Work Commute,First Class,110.0,0.0,5.0,0.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,Switzerland,1983.0,satisfied
Frequent Traveler,44.0,Work Commute,First Class,2011.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,Netherlands,1935.0,satisfied
Frequent Traveler,63.0,Work Commute,Standard,1949.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,10.0,France,1935.0,dissatisfied
Frequent Traveler,42.0,Work Commute,Comfort,1594.0,4.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,13.0,15.0,Germany,1977.0,satisfied
Frequent Traveler,46.0,Work Commute,First Class,3533.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,Switzerland,2000.0,satisfied
Frequent Traveler,28.0,Work Commute,First Class,1783.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,0.0,9.0,Italy,1984.0,dissatisfied
Frequent Traveler,59.0,Leisure Trip,Standard,743.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,1.0,2.0,1.0,4.0,0.0,Netherlands,1936.0,satisfied
Occasional Traveler,22.0,Work Commute,Standard,2602.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,50.0,42.0,Germany,1964.0,dissatisfied
Frequent Traveler,31.0,Work Commute,First Class,4645.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,3.0,Spain,2014.0,satisfied
Frequent Traveler,40.0,Work Commute,First Class,2187.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,0.0,0.0,Belgium,1930.0,satisfied
Frequent Traveler,29.0,Work Commute,First Class,4740.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,10.0,Netherlands,1955.0,dissatisfied
Frequent Traveler,43.0,Work Commute,First Class,933.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,3.0,Netherlands,1932.0,satisfied
Frequent Traveler,60.0,Work Commute,Standard,1075.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,Austria,1961.0,dissatisfied
Occasional Traveler,60.0,Work Commute,First Class,2200.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,Sweden,2006.0,dissatisfied
Frequent Traveler,24.0,Work Commute,Standard,1843.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,40.0,23.0,Sweden,1963.0,satisfied
Frequent Traveler,37.0,Leisure Trip,Standard,1687.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,Belgium,2009.0,dissatisfied
Frequent Traveler,67.0,Work Commute,Standard,1292.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,0.0,3.0,Italy,2016.0,satisfied
Occasional Traveler,24.0,Work Commute,Standard,1934.0,4.0,0.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,5.0,0.0,0.0,Sweden,1938.0,satisfied
Frequent Traveler,56.0,Work Commute,First Class,331.0,2.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,Netherlands,1973.0,satisfied
Frequent Traveler,45.0,Work Commute,First Class,3681.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,0.0,France,1933.0,satisfied
Frequent Traveler,22.0,Leisure Trip,Standard,2333.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,Belgium,1978.0,satisfied
Frequent Traveler,40.0,Work Commute,First Class,2028.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,38.0,45.0,Germany,1972.0,dissatisfied
